NOTICE: 2018-10-24 17:32:28  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":2,"db_query":0}] request and response done 
NOTICE: 2018-10-24 17:32:42  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:32:42  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":2,"db_query":0}] request and response done 
NOTICE: 2018-10-24 17:33:43  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:33:43  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":0}] request and response done 
NOTICE: 2018-10-24 17:34:35  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:34:35  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":1}] request and response done 
NOTICE: 2018-10-24 17:35:00  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:35:00  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":2,"db_query":0}] request and response done 
NOTICE: 2018-10-24 17:38:04  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:38:04  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":0}] request and response done 
NOTICE: 2018-10-24 17:41:43  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:41:43  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":0}] request and response done 
NOTICE: 2018-10-24 17:41:57  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:41:57  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":2,"db_query":0}] request and response done 
NOTICE: 2018-10-24 17:42:17  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:42:17  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":0}] request and response done 
NOTICE: 2018-10-24 17:44:00  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:44:00  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":4,"db_query":1}] request and response done 
NOTICE: 2018-10-24 17:44:20  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:44:20  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":2,"db_query":0}] request and response done 
NOTICE: 2018-10-24 17:44:32  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:44:32  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":2,"db_query":0}] request and response done 
NOTICE: 2018-10-24 17:44:37  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:44:37  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":1}] request and response done 
NOTICE: 2018-10-24 17:44:50  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:44:50  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":2,"db_query":1}] request and response done 
NOTICE: 2018-10-24 17:45:12  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:45:12  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":2,"db_query":0}] request and response done 
NOTICE: 2018-10-24 17:45:37  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:45:37  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":1}] request and response done 
NOTICE: 2018-10-24 17:48:59  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:48:59  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":0}] request and response done 
NOTICE: 2018-10-24 17:49:53  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:49:53  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":0}] request and response done 
NOTICE: 2018-10-24 17:50:03  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:50:03  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":1}] request and response done 
NOTICE: 2018-10-24 17:50:21  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:50:21  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":1}] request and response done 
NOTICE: 2018-10-24 17:51:02  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 17:51:02  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":0}] request and response done 
